 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23
1516,692.85,693.51,693.49,677.62,663.05,681.64,713.02,692.13,700.06,726.82,719.16,732.22,696.61,695.29,681.41,693.08,695.94,667.70,691.51,683.64,684.52,681.58,692.85
1517,693.04,693.42,693.33,676.09,662.20,681.85,714.48,691.57,700.25,727.93,719.28,735.01,696.56,694.64,681.59,693.47,697.24,668.47,692.15,682.73,685.94,681.78,693.04
1518,692.06,691.99,692.96,674.27,658.70,682.03,715.75,689.81,699.14,728.83,722.38,741.26,697.14,694.06,682.50,694.11,698.63,666.77,692.43,681.40,686.71,681.92,692.06
1519,692.49,690.43,693.78,672.77,656.43,682.37,716.83,688.64,699.34,729.55,723.81,746.44,697.11,694.31,683.01,693.14,698.53,665.70,691.59,680.75,687.47,682.44,692.49
1520,693.44,691.00,695.60,671.64,657.47,683.26,716.00,688.12,700.47,729.80,723.51,748.91,697.40,694.86,682.55,691.97,696.10,668.44,691.78,681.57,688.54,683.58,693.44
1521,693.56,693.44,697.90,671.03,659.23,684.48,713.85,688.54,701.08,729.20,723.37,749.96,700.76,695.46,681.20,691.19,693.98,671.70,693.76,682.14,687.79,684.51,693.56
1522,692.85,695.61,699.05,671.95,660.18,685.33,711.17,690.42,700.63,728.46,724.83,750.00,704.71,694.73,681.69,690.36,695.09,672.66,695.86,681.94,686.04,684.33,692.85
1523,692.97,696.88,699.68,673.14,660.97,685.33,709.54,690.92,699.35,729.96,726.27,750.85,707.72,693.38,684.19,690.89,696.28,671.79,696.83,683.15,685.75,683.50,692.97
1524,693.26,697.28,700.51,673.26,660.34,684.58,708.31,689.18,698.12,732.41,726.64,751.78,710.41,693.33,685.50,691.17,694.79,671.09,694.91,685.28,686.67,683.54,693.26
1525,693.04,698.31,701.63,672.39,658.36,683.55,706.47,687.81,697.63,732.05,726.30,750.37,711.25,694.24,685.10,690.03,693.28,672.19,693.27,685.33,687.27,684.00,693.04
1526,692.31,699.87,701.88,672.41,658.45,682.20,703.76,688.51,698.30,731.08,726.06,748.48,709.95,694.99,684.30,688.18,691.90,674.48,693.47,684.78,687.51,683.71,692.31
1527,691.76,699.19,700.93,672.44,660.89,681.07,702.81,689.95,699.16,729.94,726.68,748.55,708.60,695.06,683.67,687.08,691.22,675.93,694.37,685.62,687.24,683.28,691.76
1528,692.25,696.82,700.22,671.63,662.54,681.56,704.95,691.11,699.54,727.74,726.95,748.31,708.21,695.51,682.90,686.86,692.37,675.30,695.46,685.91,686.08,683.36,692.25
1529,692.51,695.80,699.73,669.72,662.94,683.09,707.43,692.08,700.00,726.87,726.51,746.78,707.60,695.46,682.14,687.47,693.10,673.75,696.70,685.74,685.36,683.16,692.51
1530,691.30,696.13,700.13,668.46,661.91,683.81,707.06,692.85,700.97,727.66,725.21,744.82,707.70,694.92,682.60,688.54,692.79,673.23,698.43,686.23,685.21,682.50,691.30
1531,690.93,696.73,700.43,668.60,659.86,683.20,705.86,693.88,701.23,728.36,723.05,742.25,708.92,694.64,682.17,688.43,692.82,673.33,699.25,686.93,685.25,682.57,690.93
1532,692.21,696.31,701.23,668.87,659.74,682.37,706.19,696.18,701.45,728.14,723.19,740.64,708.99,694.34,681.23,687.96,692.59,672.50,698.55,687.66,686.56,683.41,692.21
1533,693.27,694.77,702.44,669.51,662.55,682.93,706.49,698.57,702.24,727.53,723.89,740.59,708.53,693.77,681.94,687.51,692.70,671.84,698.36,688.03,687.57,683.93,693.27
1534,693.37,693.78,702.34,669.04,663.68,682.87,705.79,699.76,702.72,727.91,723.25,741.25,708.57,694.15,682.72,687.54,693.68,671.01,698.37,688.09,686.45,683.12,693.37
1535,692.59,694.22,700.80,667.08,661.06,682.05,705.04,699.65,702.54,727.02,723.23,742.99,708.40,695.10,681.84,689.14,694.37,669.85,698.91,687.40,685.30,682.61,692.59
1536,692.07,695.14,699.94,666.49,658.85,683.65,704.19,697.69,702.06,725.25,723.81,745.47,708.60,695.55,680.49,690.60,693.87,669.96,698.53,686.32,686.19,683.34,692.07
1537,692.31,696.06,699.78,667.40,658.92,686.51,703.21,695.92,700.82,726.73,727.21,748.45,708.49,695.59,679.85,691.88,692.38,672.03,697.37,685.42,686.41,682.99,692.31
1538,692.44,697.73,699.94,667.45,657.92,686.84,703.92,696.27,699.91,731.11,733.45,750.08,708.60,696.26,679.35,691.60,691.60,672.91,697.10,685.57,685.22,681.90,692.44
1539,692.85,698.70,700.33,667.04,655.34,685.79,706.50,697.28,699.53,736.69,739.00,751.12,708.18,696.38,679.18,689.93,692.13,671.34,697.58,685.43,685.09,682.11,692.85
1540,693.38,698.12,700.42,667.59,654.27,685.82,707.45,697.56,699.30,740.23,741.99,752.66,705.97,695.15,679.30,688.76,692.06,669.73,697.51,683.85,686.30,682.65,693.38
1541,693.01,698.72,700.47,667.99,655.48,686.17,705.51,695.56,699.46,741.05,743.04,754.20,704.10,694.68,680.32,688.39,691.73,668.71,695.43,682.59,687.75,682.27,693.01
1542,692.54,699.74,700.25,667.15,657.97,685.40,704.07,692.55,699.35,741.96,742.67,755.41,704.49,695.44,682.02,688.81,691.83,668.86,694.84,682.54,689.03,681.09,692.54
1543,693.22,698.12,699.27,665.52,658.94,683.43,703.57,691.86,698.57,743.42,742.89,757.49,705.19,695.52,681.68,689.13,691.76,670.08,696.28,682.47,689.77,680.18,693.22
1544,694.27,695.67,698.12,663.47,658.18,681.97,702.62,692.52,697.63,745.23,744.62,761.02,704.74,693.72,681.31,688.49,693.15,670.48,696.56,682.19,689.98,679.93,694.27
1545,693.94,694.70,697.40,662.55,658.07,680.88,702.72,692.38,697.40,747.20,745.03,763.57,704.90,691.47,682.03,687.86,694.71,670.20,695.62,681.89,690.02,679.93,693.94
1546,694.36,695.06,697.45,663.07,657.74,680.46,702.73,691.24,698.14,749.10,744.38,764.57,704.67,690.54,682.25,688.25,694.46,669.31,694.39,682.33,690.28,680.73,694.36
1547,695.95,695.52,697.49,663.53,657.23,680.75,701.47,690.63,698.10,749.30,745.16,764.98,702.74,691.48,681.50,688.05,693.87,667.82,693.86,683.50,690.54,681.54,695.95
1548,695.29,696.12,696.44,663.45,656.69,680.97,700.42,690.69,697.42,747.15,746.32,765.65,701.88,692.95,679.86,687.26,695.36,668.12,694.47,683.81,690.15,681.42,695.29
1549,693.52,697.68,696.38,663.22,655.68,681.47,699.92,690.56,698.01,745.16,745.95,766.86,702.57,693.09,679.44,687.28,697.67,671.04,695.63,682.59,689.02,680.97,693.52
1550,693.10,699.27,697.63,662.84,655.43,682.20,699.55,690.13,698.41,745.12,744.94,768.72,702.77,693.05,679.49,686.90,699.12,671.95,695.41,681.17,687.42,680.57,693.10
1551,692.69,699.59,698.06,662.36,657.59,683.09,699.00,689.20,697.34,745.35,744.28,769.35,701.94,693.17,678.53,686.56,698.54,669.94,694.50,679.99,686.36,680.76,692.69
