 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7
250,435.551,435.043,434.615,439.703,439.876,435.322,437.779
251,435.517,434.786,434.528,439.776,440.134,435.622,438.149
252,435.538,434.222,434.364,439.952,439.947,435.818,438.451
253,435.572,433.994,434.257,440.015,439.463,435.747,438.454
254,435.513,434.305,434.145,439.932,439.171,435.660,438.222
255,435.305,434.659,434.006,439.804,439.384,435.725,438.043
256,434.970,434.616,433.808,439.872,439.653,435.915,437.898
257,434.771,434.285,433.786,440.197,439.563,436.008,437.826
258,434.687,434.082,434.086,440.503,439.207,436.009,437.919
259,434.649,434.224,434.636,440.643,438.796,436.002,438.232
260,434.532,434.573,435.185,440.611,438.547,436.062,438.564
261,434.578,434.873,435.422,440.447,438.450,436.182,438.528
262,434.687,434.940,435.242,440.244,438.681,436.381,438.250
263,434.759,434.736,434.955,440.182,439.159,436.469,438.138
264,434.722,434.323,434.784,440.176,439.733,436.343,438.195
265,434.747,434.005,434.785,440.077,439.884,435.951,438.166
266,434.964,433.874,434.753,439.879,439.545,435.618,437.806
267,435.170,433.858,434.604,439.778,439.109,435.659,437.377
268,435.184,433.835,434.382,439.969,438.882,436.070,437.253
269,435.055,433.956,434.229,440.167,438.851,436.474,437.473
270,434.957,434.299,434.219,440.040,438.825,436.469,437.816
271,434.867,434.605,434.284,439.551,438.806,436.153,438.159
272,434.672,434.471,434.371,439.089,438.718,435.889,438.485
273,434.581,434.087,434.404,438.923,438.573,435.878,438.648
274,434.733,433.861,434.506,439.059,438.468,435.962,438.596
275,434.924,433.821,434.738,439.263,438.587,435.967,438.394
276,434.851,433.817,434.942,439.284,438.788,436.022,438.239
277,434.440,433.794,434.843,439.295,438.686,436.119,438.176
278,434.044,433.892,434.468,439.337,438.323,436.048,438.176
279,433.945,434.235,434.081,439.499,438.123,435.733,438.294
280,434.131,434.577,433.987,439.639,438.255,435.342,438.611
281,434.394,434.688,434.211,439.709,438.462,435.147,438.872
282,434.587,434.546,434.527,439.783,438.711,435.180,438.740
283,434.730,434.478,434.744,439.908,439.244,435.389,438.276
284,434.884,434.659,434.786,440.022,439.765,435.566,437.766
285,435.025,434.892,434.519,440.233,439.942,435.667,437.529
286,435.031,434.858,433.972,440.480,439.692,435.836,437.440
287,434.780,434.515,433.353,440.690,439.218,436.182,437.243
288,434.275,434.184,432.917,440.725,438.753,436.575,436.955
289,433.761,434.056,432.953,440.549,438.481,436.776,436.882
290,433.532,434.094,433.521,440.260,438.588,436.744,437.236
291,433.589,434.092,434.313,439.817,438.992,436.669,437.818
292,433.884,434.068,434.829,439.405,439.474,436.685,438.264
293,434.184,434.178,434.817,439.230,439.822,436.679,438.391
294,434.361,434.364,434.480,439.370,439.831,436.592,438.320
295,434.435,434.338,434.021,439.676,439.344,436.498,438.276
296,434.620,434.179,433.629,439.926,438.688,436.463,438.395
297,434.819,434.179,433.452,440.159,438.328,436.393,438.706
298,434.932,434.496,433.558,440.481,438.265,436.181,439.020
299,434.836,434.741,433.854,440.680,438.177,435.903,439.054
300,434.666,434.789,434.129,440.534,437.933,435.872,438.755
301,434.647,434.772,434.325,440.235,437.730,436.189,438.374
302,434.883,434.903,434.412,440.161,437.842,436.583,438.043
303,435.151,434.953,434.326,440.274,438.115,436.799,437.958
304,435.142,434.880,434.200,440.212,438.365,436.828,438.128
305,434.771,434.917,434.155,439.867,438.542,436.716,438.282
306,434.382,435.151,434.225,439.538,438.703,436.468,438.264
307,434.429,435.496,434.384,439.504,438.843,436.079,438.164
308,434.802,435.764,434.478,439.699,438.838,435.522,438.148
309,434.939,435.811,434.397,439.877,438.876,434.872,438.112
310,434.653,435.682,434.259,439.984,438.787,434.367,438.032
311,434.362,435.365,434.259,440.008,438.588,434.166,438.035
312,434.383,434.952,434.314,439.844,438.421,434.148,438.175
313,434.586,434.661,434.323,439.676,438.431,434.275,438.289
314,434.713,434.587,434.310,439.642,438.527,434.648,438.309
315,434.781,434.602,434.382,439.768,438.699,435.138,438.344
316,434.815,434.608,434.521,439.844,438.848,435.491,438.352
317,434.837,434.587,434.693,439.846,438.895,435.728,438.292
318,434.916,434.673,434.797,439.914,438.830,435.986,438.079
319,435.084,434.872,434.787,440.005,438.852,436.267,437.832
320,435.247,435.032,434.694,440.149,439.049,436.465,437.753
321,435.202,435.026,434.570,440.389,439.327,436.543,437.875
322,435.094,434.966,434.380,440.615,439.455,436.460,438.061
323,434.976,434.925,434.250,440.761,439.379,436.308,438.180
324,434.791,434.925,434.295,440.733,439.366,436.108,438.231
325,434.521,434.958,434.348,440.501,439.547,436.004,438.141
326,434.286,434.962,434.323,440.106,439.775,436.084,437.995
327,434.224,435.001,434.316,439.775,439.702,436.113,438.119
328,434.287,435.083,434.404,439.681,439.472,435.934,438.576
329,434.406,435.114,434.431,439.945,439.295,435.606,439.159
330,434.471,434.885,434.403,440.158,439.296,435.462,439.545
331,434.507,434.416,434.442,440.056,439.427,435.552,439.623
332,434.611,433.997,434.561,439.690,439.434,435.712,439.380
333,434.720,433.740,434.580,439.350,439.276,435.890,439.028
334,434.831,433.634,434.411,439.191,439.064,436.099,438.874
335,434.809,433.698,434.159,439.256,438.863,436.259,439.017
336,434.769,433.938,434.070,439.444,438.718,436.366,439.192
337,434.776,434.186,434.200,439.691,438.774,436.314,439.000
338,434.648,434.200,434.394,439.994,439.055,436.113,438.662
339,434.475,433.942,434.545,440.426,439.452,435.948,438.584
340,434.453,433.634,434.613,441.025,439.814,436.124,439.013
341,434.735,433.523,434.677,441.702,440.325,436.662,439.653
342,434.952,433.596,434.670,442.466,441.080,437.317,440.269
343,434.900,433.682,434.568,443.025,441.915,437.935,440.743
344,434.789,433.731,434.519,443.240,442.553,438.412,441.103
345,434.872,433.855,434.644,443.188,442.996,438.857,441.301
346,434.938,434.089,434.858,443.182,443.450,439.264,441.430
347,434.668,434.380,434.997,443.393,443.812,439.706,441.462
348,434.223,434.593,435.011,443.696,444.073,440.084,441.222
349,433.909,434.825,435.057,443.728,444.103,440.367,440.727
350,433.703,434.921,435.256,443.655,443.938,440.467,440.327
351,433.547,434.876,435.474,443.743,443.679,440.488,440.185
352,433.602,434.984,435.463,444.022,443.533,440.525,440.215
353,433.946,435.332,435.139,444.241,443.617,440.518,440.188
354,434.456,435.530,434.677,444.361,443.819,440.273,440.158
355,434.777,435.495,434.329,444.494,443.903,439.753,440.320
356,434.677,435.232,434.302,444.611,443.848,439.065,440.769
357,434.318,434.811,434.548,444.739,443.672,438.485,441.349
358,434.250,434.510,434.722,444.858,443.473,438.150,441.715
359,434.562,434.556,434.650,444.927,443.320,438.016,441.713
360,434.862,434.770,434.471,444.815,443.239,438.121,441.519
361,434.887,434.871,434.376,444.342,443.154,438.399,441.327
362,434.692,434.819,434.378,443.528,443.108,438.599,441.152
363,434.293,434.582,434.360,442.717,443.107,438.538,440.901
364,433.900,434.273,434.325,442.234,443.126,438.338,440.695
365,433.822,434.130,434.275,442.150,443.153,438.148,440.620
366,434.040,434.383,434.174,442.241,442.965,437.939,440.590
367,434.183,434.746,434.062,442.480,442.551,437.645,440.511
368,434.001,434.926,434.034,442.977,442.107,437.284,440.370
369,433.735,434.904,434.159,443.431,441.808,437.131,440.200
370,433.614,434.848,434.356,443.434,441.689,437.489,439.948
371,433.668,434.688,434.599,443.018,441.678,438.113,439.720
372,433.818,434.373,434.897,442.571,441.839,438.480,439.651
373,434.115,434.106,435.110,442.279,442.089,438.413,439.758
374,434.367,434.035,435.113,442.040,442.339,438.247,440.007
375,434.586,434.056,434.817,441.816,442.528,438.111,440.276
376,434.796,434.054,434.348,441.715,442.489,438.102,440.231
377,434.978,433.979,434.052,441.918,442.333,438.224,439.849
378,434.950,433.848,434.190,442.334,442.243,438.337,439.430
379,434.698,433.834,434.593,442.802,442.328,438.299,439.303
380,434.411,433.971,434.776,443.087,442.548,438.139,439.401
381,434.164,434.068,434.636,442.936,442.756,437.854,439.373
382,433.828,434.063,434.324,442.504,442.797,437.565,439.052
383,433.542,434.107,434.019,442.273,442.684,437.445,438.632
384,433.524,434.208,433.793,442.423,442.486,437.672,438.598
385,433.846,434.361,433.662,442.611,442.212,438.087,439.147
386,434.353,434.527,433.670,442.337,441.880,438.388,439.893
387,434.736,434.714,433.750,441.916,441.371,438.489,440.303
388,434.963,434.807,433.830,441.805,440.864,438.420,440.208
389,435.132,434.823,433.971,442.100,440.528,438.358,440.037
390,435.276,434.806,434.203,442.230,440.536,438.317,440.047
391,435.299,434.788,434.367,442.021,440.724,438.288,440.146
392,435.039,434.658,434.499,441.580,440.872,438.299,440.133
393,434.608,434.464,434.606,441.183,440.872,438.392,440.083
394,434.218,434.378,434.679,441.072,440.797,438.724,440.146
395,433.990,434.449,434.606,441.183,440.754,439.113,440.264
396,433.849,434.442,434.312,441.332,440.806,439.158,440.221
397,433.849,434.371,433.805,441.322,440.816,438.730,439.878
398,434.020,434.302,433.330,441.260,440.737,438.260,439.471
399,434.387,434.263,433.028,441.219,440.569,437.879,439.323
400,434.665,434.345,432.915,441.248,440.401,437.625,439.499
401,434.606,434.598,432.860,441.381,440.420,437.396,439.684
402,434.389,434.791,432.832,441.715,440.702,437.258,439.685
403,434.115,434.794,432.994,441.876,440.969,437.284,439.470
404,434.030,434.752,433.329,441.752,440.825,437.500,439.177
405,434.212,434.778,433.646,441.528,440.430,437.704,438.912
406,434.448,434.756,433.896,441.474,440.134,437.559,438.872
407,434.671,434.609,434.191,441.614,440.077,437.053,438.990
408,434.859,434.458,434.538,441.620,440.174,436.611,439.030
409,434.915,434.366,434.770,441.374,440.134,436.584,438.950
410,434.707,434.306,434.765,441.104,439.965,436.695,438.904
411,434.478,434.352,434.664,440.977,439.895,436.591,439.084
412,434.565,434.543,434.606,440.869,439.844,436.442,439.377
413,434.859,434.763,434.512,440.869,439.635,436.590,439.559
414,435.095,434.942,434.465,440.938,439.252,436.789,439.422
415,435.071,435.091,434.485,441.084,438.992,436.839,439.066
416,434.977,435.291,434.501,440.964,438.824,436.824,438.648
417,434.859,435.574,434.491,440.577,438.845,436.718,438.312
418,434.685,435.723,434.542,439.920,439.178,436.641,438.018
419,434.513,435.561,434.720,439.325,439.807,436.567,437.773
420,434.437,435.204,434.937,439.302,440.350,436.615,437.795
421,434.365,434.960,435.114,439.896,440.532,436.772,438.146
422,434.218,434.818,435.191,440.583,440.368,436.982,438.473
423,434.151,434.591,435.125,440.824,440.085,437.107,438.383
424,434.339,434.251,434.968,440.764,439.880,437.111,438.020
425,434.715,433.913,434.822,440.654,439.824,436.971,437.822
426,435.060,433.659,434.681,440.851,439.757,436.734,437.885
427,435.096,433.573,434.381,441.267,439.700,436.452,438.067
428,434.896,433.725,433.942,441.624,439.784,436.270,438.206
429,434.728,433.987,433.628,441.686,439.988,436.325,438.276
430,434.664,434.167,433.511,441.494,440.063,436.631,438.299
431,434.412,434.142,433.469,441.272,439.924,437.003,438.331
432,433.910,434.077,433.591,441.104,439.600,437.067,438.404
433,433.532,434.063,433.877,440.875,439.290,436.708,438.675
434,433.330,434.207,434.138,440.464,439.021,436.201,439.077
435,433.379,434.449,434.200,440.150,438.933,436.008,439.343
436,433.702,434.678,434.099,440.000,439.020,436.148,439.258
437,434.030,434.816,433.900,439.942,439.150,436.361,438.827
438,434.061,434.800,433.826,439.920,439.281,436.462,438.397
439,433.884,434.649,434.032,440.116,439.371,436.421,438.344
440,433.741,434.563,434.447,440.409,439.293,436.394,438.574
441,433.903,434.505,434.804,440.545,439.085,436.461,438.799
442,434.252,434.417,434.804,440.528,438.933,436.670,438.920
443,434.525,434.300,434.511,440.544,438.984,436.910,439.020
444,434.661,434.336,434.255,440.705,439.164,436.927,439.185
445,434.642,434.717,434.117,440.772,439.297,436.793,439.194
446,434.479,435.223,434.119,440.590,439.410,436.788,439.066
447,434.296,435.435,434.229,440.269,439.676,436.846,438.842
448,434.309,435.246,434.434,440.049,440.027,436.770,438.599
449,434.470,434.927,434.602,440.080,440.199,436.621,438.383
450,434.540,434.832,434.632,440.299,440.020,436.357,438.205
451,434.467,434.945,434.550,440.455,439.732,435.871,438.094
452,434.243,435.125,434.530,440.407,439.563,435.259,438.005
453,433.942,435.228,434.644,440.293,439.442,434.812,437.958
454,433.683,435.140,434.737,440.173,439.249,434.797,438.065
455,433.473,434.971,434.628,440.031,439.023,435.178,438.203
456,433.449,434.767,434.396,439.936,438.916,435.573,438.091
457,433.606,434.585,434.260,439.919,439.023,435.733,437.697
458,433.750,434.432,434.386,439.722,439.272,435.688,437.258
459,433.768,434.347,434.780,439.341,439.504,435.695,437.034
460,433.883,434.486,435.111,439.147,439.567,435.860,437.038
